Feature,Coefficient,Absolute Value
churn_score,1.325623772654987,1.325623772654987
escalations_Y,0.9704286166863098,0.9704286166863098
state_Gujarat,0.965777489672656,0.965777489672656
escalations_N,-0.9137510048743464,0.9137510048743464
state_Karnataka,0.8129146409998181,0.8129146409998181
state_Nagaland,-0.6310059338102478,0.6310059338102478
state_Maharashtra,-0.6110522045064036,0.6110522045064036
state_Telangana,-0.373219028802187,0.373219028802187
state_Delhi,-0.31332602501266243,0.31332602501266243
state_Tamil Nadu,0.31267982572016284,0.31267982572016284
state_West Bengal,0.2986117489066951,0.2986117489066951
state_Rajasthan,-0.21876086950643653,0.21876086950643653
csat_score,0.19444560829627697,0.19444560829627697
country_India,0.13912712236686242,0.13912712236686242
state_Meghalaya,-0.13093833756813053,0.13093833756813053
gender_Female,0.12967210137019974,0.12967210137019974
subscription_type_Organic,0.11901133853224767,0.11901133853224767
subscription_type_Refferal,-0.11291328201580081,0.11291328201580081
monthly_charges,-0.11190210037426077,0.11190210037426077
customer_age,-0.09651003620328187,0.09651003620328187
state_Kathmandu,-0.08244951055490017,0.08244951055490017
country_Nepal,-0.08244951055490017,0.08244951055490017
plan_type_Standard,0.0789508863889139,0.0789508863889139
contract_type_Monthly,0.07768799582210598,0.07768799582210598
gender_Male,-0.07299448955823735,0.07299448955823735
cltv,0.07165975499371154,0.07165975499371154
days_since_last_complaint,0.05760605034962657,0.05760605034962657
plan_type_Basic,-0.055899735784078905,0.055899735784078905
subscription_duration_months,0.0556135638753171,0.0556135638753171
subscription_type_Paid,0.050579555295515666,0.050579555295515666
plan_type_Premium,0.033626461207128054,0.033626461207128054
state_Uttar Pradesh,0.02744581627359851,0.02744581627359851
contract_type_Annual,-0.021010384010142907,0.021010384010142907
complaint_count,-0.015757073074148687,0.015757073074148687
